stock,method,sharpe_1x_short,Sharpe Ratio,sharpe_2x_short,sharpe_2x_no_short,Annual Return,Cumulative Returns,Annual Volatility,Calmar Ratio,Stability,Max Drawdown,Omega Ratio,Sortino Ratio,Skew,Kurtosis,Tail Ratio,VaR,alpha_ratio,Beta,Accuracy,B&H,1x_short,1x_no_short,2x_short,2x_no_short,action,labels,close,acc
AVGO,Triviews(no_cl),-1.4440925624199141,1.1729729928737789,-3.4036463335624876,2.695700553095658,0.18086364153789702,0.1661545711334531,0.1555077076651006,1.8660588464073873,0.014751189531196968,0.09692279634487577,1.444571556721068,0.05665266366947558,0.12520835616011827,8.936843059105355,1.0621849681772557,-0.010428109443758065,1.1630525859682956,2.1346146699162944e-06,0.6008583690987125,1.835449933668141,0.7409172316989657,1.166154571133453,0.571626055166419,1.33002699489379,-1,-1,1.835449933668141,0.6008583690987125
AVGO,Triviews(dual_cl),0.6904767322908255,1.3716272058722423,1.368121897016441,3.7519241855068586,0.4730831342003039,0.4328839711824888,0.22043407062143164,3.602620352703238,0.036380831396174935,0.13131639969927011,1.6046582680003785,0.166641110066082,1.491180276621179,7.763728751481704,1.1311525495740373,-0.017062298978067724,2.146143438111098,7.430941842181697e-06,0.47863247863247865,1.8325249795860807,1.1203975376834758,1.4328839711824888,1.2530883294084838,1.9659648769728288,-1,1,1.8325249795860807,0.47863247863247865
AWK,Triviews(dual_cl),0.9862700198644077,0.9675870563475137,2.1021736870792433,2.759021711139421,0.19828599573845462,0.17444191130064568,0.12614229069519284,2.215293704315949,0.04393979259475336,0.08950776836143381,1.531954419530678,0.0934605632644572,0.4145460914806865,5.72838314234269,1.1288085196541837,-0.009792215081348409,1.5719232197676518,5.363582595573333e-06,0.6205357142857143,1.2247712352941176,1.126180761983919,1.1744419113006457,1.2873479474526146,1.3601164238553871,-1,-1,1.2247712352941176,0.6205357142857143
AWK,Triviews(no_cl),0.3873065074300204,1.4856421149814065,-0.5583865541528582,1.8978339266797104,0.06225698818779435,0.054899560720856444,0.11349254601764522,0.8338808167395355,-0.026312220128169687,0.07465933612817532,1.1726550485932699,0.047698070263364714,0.955492559188979,5.006938584316625,1.3858650574284102,-0.0103045979812745,0.548555745485831,-2.9026269457550703e-06,0.5695067264573991,1.1817237774957974,0.9416862928553636,1.0548995607208564,0.9048392528028746,1.1004669343303577,1,-1,1.1817237774957974,0.5695067264573991
AWK,Triviews(supcon_cl),-1.100959675511169,-0.33552504898303237,-2.948851178314861,-0.8238105446082139,-0.020091864654897984,-0.017800415535162428,0.11626175446530354,-0.14560496082871785,0.001518608878988176,0.137988874421202,0.9637299496442543,-0.0057424296399496465,-0.50631090520226,9.860430141414978,0.8640337479569177,-0.01168562825076606,-0.17281577030470566,1.716126103277073e-07,0.6098654708520179,1.1817237774957974,0.8163633855004908,0.9821995844648376,0.6789155035005568,0.9532331667127552,-1,-1,1.1817237774957974,0.6098654708520179
AWK,Triviews(no_pull),-1.6985360073318005,-0.7948194788990206,-2.5362277646264966,0.3601331002145329,0.011376404389075612,0.010060652748888455,0.06697886946053179,0.2108515880196002,0.08952728476207017,0.05395455872980237,1.091310765349719,0.011414534735589005,1.5230367899838912,16.88676947414042,1.091310765349719,-0.00524308115622297,0.1698506481328311,5.828537780874781e-06,0.7040358744394619,1.1817237774957974,0.8633341747539973,1.0100606527488885,0.7716671021027481,1.0162633752806935,-1,-1,1.1817237774957974,0.7040358744394619
AWK,Triviews(not_translated),-0.7865478371235581,0.12148144418390193,-2.238866169940826,0.5514165699941816,0.016582168603501257,0.014659987862896573,0.10689840187391655,0.16577711597135594,0.010061791849701534,0.10002688553446926,1.0858291654735708,0.007223208960181663,-1.4400291655179933,23.620897542881654,0.8025693831761175,-0.006181983896972841,0.15512082793398002,1.04547326468601e-06,0.6412556053811659,1.1817237774957974,0.8712145008638394,1.0146599878628966,0.775876759824757,1.019031604113215,-1,-1,1.1817237774957974,0.6412556053811659
BA,Triviews(dual_cl),1.7985960044119933,1.896914334845881,3.1108221917769923,2.9498682389600726,0.27238181265940176,0.20490825903635002,0.16717382819203133,2.8312332101501485,-0.04580379869363972,0.09620606726528069,1.6147579620048151,0.0995469821681665,1.3159185072614847,8.91942758908161,1.336351416831571,-0.013018405029057477,1.6293328663055966,-8.50330242979653e-06,0.5897435897435898,0.7953604842252634,1.8253407624445497,1.20490825903635,3.4705667111548872,1.4216583025028178,-1,1,0.7953604842252634,0.5897435897435898
BA,Triviews(not_translated),0.618538763015963,-0.572615402391532,3.1312700255940844,1.6626530779293134,0.08208551797980057,0.06261509719044889,0.14242959546992678,0.8100758512079582,0.10350282294661863,0.10133065670010699,1.2608903633757471,0.03294924088294127,1.3363645107391853,14.284175013553414,1.0807631686077832,-0.009691344877069196,0.576323465000169,1.645454836613862e-05,0.5412371134020618,0.8002037357414438,1.4110791968883152,1.0626150971904489,2.101501490304649,1.112170869977826,-1,1,0.8002037357414438,0.5412371134020618
BA,Triviews(no_pull),0.802207943211009,-0.2738520445993226,2.702723425369071,1.0139815010664073,0.056632962203312154,0.04332064587912288,0.14519546449487664,0.5262200809579887,0.06335933598726488,0.10762219887202196,1.157338033169184,0.03285182253827487,1.6306871979128392,11.910737409364234,1.3677631301090358,-0.011841315133372651,0.3900463585438683,1.0268268076134503e-05,0.4948453608247423,0.8002037357414438,1.3603010352220424,1.0433206458791229,1.9510631340356293,1.0716237400077766,-1,1,0.8002037357414438,0.4948453608247423
