,dualcl,Triviews(supcon-cl),Triviews(no-cl),Triviews(no-translated)
89,1.1331511245646066,0.8894070486168397,1.0560873731922804,0.9718192563628858
90,1.1331511245646066,0.8894070486168397,1.0560873731922804,0.9718192563628858
91,1.1331511245646066,0.8894070486168397,1.0560873731922804,0.9718192563628858
92,1.1331511245646066,0.8894070486168397,1.0560873731922804,0.9718192563628858
93,1.1274473436355237,0.8894070486168397,1.0560873731922804,0.9718192563628858
94,1.1274473436355237,0.8894070486168397,1.0560873731922804,0.9718192563628858
95,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
96,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
97,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
98,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
99,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
100,1.1274473436355237,0.8849301674205721,1.050771497058835,0.9718192563628858
101,1.1274473436355237,0.8983029680814589,1.0666504424125325,0.9718192563628858
102,1.1274473436355237,0.8983029680814589,1.0666504424125325,0.9718192563628858
103,1.1274473436355237,0.8983029680814589,1.0666504424125325,0.9718192563628858
104,1.0937804593455611,0.8983029680814589,1.0666504424125325,0.9718192563628858
105,1.0779314171485308,0.8983029680814589,1.0420836855375244,0.9718192563628858
106,1.0779314171485308,0.871478600403047,1.01096585900709,0.9718192563628858
107,1.1147159784876284,0.871478600403047,0.9963168127361888,0.9718192563628858
108,1.1147159784876284,0.871478600403047,0.9963168127361888,0.9718192563628858
109,1.1127023411431194,0.871478600403047,0.9963168127361888,0.9718192563628858
110,1.089897561178948,0.871478600403047,0.9963168127361888,0.9718192563628858
111,1.1163269477664284,0.8699043502006835,0.9945170531742872,0.9700637495032997
112,1.1163269477664284,0.8520757031648358,0.9945170531742872,0.9700637495032997
113,1.1257638543217665,0.8520757031648358,1.0186335175122316,0.9700637495032997
114,1.1257638543217665,0.8520757031648358,1.0186335175122316,0.9700637495032997
115,1.139750778929751,0.8592787531359298,1.0272445694429688,0.9782642153033052
116,1.139750778929751,0.8538764343399328,1.0272445694429688,0.9782642153033052
117,1.139750778929751,0.864485324708724,1.0272445694429688,0.9782642153033052
118,1.139750778929751,0.864485324708724,0.9965895924489664,0.9782642153033052
119,1.139750778929751,0.864485324708724,0.9965895924489664,0.9782642153033052
120,1.1624048455474811,0.864485324708724,0.9965895924489664,0.9782642153033052
121,1.146633746250697,0.864485324708724,0.9796335062284726,0.9782642153033052
122,1.146633746250697,0.864485324708724,0.9796335062284726,0.9782642153033052
123,1.146633746250697,0.8527562924797053,0.9663421840524116,0.96499147118396
124,1.146633746250697,0.8527562924797053,0.9663421840524116,0.96499147118396
125,1.146633746250697,0.8527562924797053,0.962462741076006,0.96499147118396
126,1.14121525869959,0.8527562924797053,0.962462741076006,0.96499147118396
127,1.14121525869959,0.8527562924797053,0.962462741076006,0.96499147118396
128,1.1628846216117128,0.8527562924797053,0.95791456481835,0.9604313452582822
129,1.1628846216117128,0.8527562924797053,0.95791456481835,0.9604313452582822
130,1.1628846216117128,0.8527562924797053,0.95791456481835,0.9604313452582822
131,1.1628846216117128,0.8527562924797053,0.95791456481835,0.9604313452582822
132,1.19988862547386,0.8527562924797053,0.95791456481835,0.9604313452582822
133,1.19988862547386,0.8527562924797053,0.95791456481835,0.9604313452582822
134,1.19988862547386,0.8527562924797053,0.95791456481835,0.9604313452582822
135,1.19988862547386,0.8527562924797053,0.95791456481835,0.9604313452582822
136,1.19988862547386,0.8762522521956393,0.95791456481835,0.986894071358478
137,1.19988862547386,0.8762522521956393,0.95791456481835,0.986894071358478
138,1.19988862547386,0.8762522521956393,0.95791456481835,0.986894071358478
139,1.19988862547386,0.8762522521956393,0.95791456481835,0.986894071358478
140,1.2002066206064592,0.8762522521956393,0.95791456481835,0.986894071358478
141,1.2002066206064592,0.8762522521956393,0.95791456481835,0.986894071358478
142,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9871556185591268
143,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9871556185591268
144,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9871556185591268
145,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9678380405881768
146,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9678380405881768
147,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9678380405881768
148,1.2002066206064592,0.8764844770415223,0.95791456481835,0.9678380405881768
149,1.192535270882268,0.8764844770415223,0.95791456481835,0.9687342979559002
150,1.192535270882268,0.8764844770415223,0.9498052731235482,0.9687342979559002
151,1.192535270882268,0.8764844770415223,0.9498052731235482,0.9687342979559002
152,1.174346865536506,0.8764844770415223,0.9498052731235482,0.9687342979559002
